,precision,recall,f1-score,support
negative,0.8370731707317073,0.934640522875817,0.883170355120947,918.0
neutral,0.7235023041474654,0.5304054054054054,0.6120857699805068,296.0
positive,0.7941176470588235,0.6982758620689655,0.7431192660550459,232.0
accuracy,0.813969571230982,0.813969571230982,0.813969571230982,0.813969571230982
macro avg,0.7848977073126654,0.7211072634500626,0.7461251303854999,1446.0
weighted avg,0.8069330199702656,0.813969571230982,0.8052084672476003,1446.0
