,precision,recall,f1-score,support
negative,0.8365200764818356,0.9552401746724891,0.891946992864424,916.0
neutral,0.7243243243243244,0.47017543859649125,0.5702127659574469,285.0
positive,0.8051282051282052,0.6977777777777778,0.7476190476190476,225.0
accuracy,0.8176718092566619,0.8176718092566619,0.8176718092566619,0.8176718092566619
macro avg,0.788657535311455,0.7077311303489194,0.7365929354803061,1426.0
weighted avg,0.8091435263980645,0.8176718092566619,0.8048726293660382,1426.0
